time,idx,temp_c,sm_mhz,power_w,fan_pct,throttle_hex
16:50:58,0,55,210,21.91,72,0x0000000000000001
16:50:58,1,59,210,21.48,76,0x0000000000000001
16:50:58,2,50,210,17.73,46,0x0000000000000001
16:50:58,3,57,210,19.51,74,0x0000000000000001
16:51:08,0,62,1950,131.84,73,0x0000000000000000
16:51:08,1,66,1912,142.06,77,0x0000000000000000
16:51:08,2,57,1957,127.46,69,0x0000000000000000
16:51:08,3,65,1935,130.27,76,0x0000000000000000
16:51:18,0,68,1950,134.15,79,0x0000000000000000
16:51:18,1,73,1905,142.71,84,0x0000000000000000
16:51:18,2,61,1950,127.14,73,0x0000000000000000
16:51:18,3,71,1927,132.32,82,0x0000000000000000
16:51:28,0,71,1942,134.27,83,0x0000000000000000
16:51:28,1,77,1897,145.48,88,0x0000000000000000
16:51:28,2,62,1950,126.88,75,0x0000000000000000
16:51:28,3,74,1927,133.64,86,0x0000000000000000
16:51:39,0,74,1935,139.52,86,0x0000000000000000
16:51:39,1,81,1897,148.96,92,0x0000000000000000
16:51:39,2,64,1950,128.95,76,0x0000000000000000
16:51:39,3,78,1912,137.42,90,0x0000000000000000
16:51:49,0,78,1935,141.49,90,0x0000000000000000
16:51:49,1,84,1860,152.88,96,0x0000000000000020
16:51:49,2,65,1935,128.90,78,0x0000000000000000
16:51:49,3,81,1905,139.22,93,0x0000000000000000
16:51:59,0,80,1927,139.75,93,0x0000000000000000
16:51:59,1,85,1882,153.52,98,0x0000000000000020
16:51:59,2,64,1935,125.02,79,0x0000000000000000
16:51:59,3,82,1905,138.16,96,0x0000000000000020
16:52:09,0,83,1882,148.35,95,0x0000000000000020
16:52:09,1,89,1687,160.05,100,0x0000000000000020
16:52:09,2,66,1935,132.59,79,0x0000000000000000
16:52:09,3,86,1785,145.49,98,0x0000000000000020
16:52:19,0,84,1807,146.35,98,0x0000000000000020
16:52:19,1,91,1320,154.95,100,0x0000000000000020
16:52:19,2,64,1935,124.70,80,0x0000000000000000
16:52:19,3,87,1612,141.20,100,0x0000000000000020
16:52:29,0,87,1815,145.13,100,0x0000000000000020
16:52:29,1,92,1620,142.29,100,0x0000000000000020
16:52:29,2,67,1935,125.57,80,0x0000000000000000
16:52:29,3,91,1747,147.98,100,0x0000000000000020
16:52:39,0,87,1905,140.90,100,0x0000000000000020
16:52:39,1,92,1537,117.89,100,0x0000000000000020
16:52:39,2,64,1935,110.28,80,0x0000000000000000
16:52:39,3,91,1582,132.17,100,0x0000000000000020
16:52:49,0,89,1702,140.18,100,0x0000000000000020
16:52:49,1,92,1350,108.60,100,0x0000000000000020
16:52:49,2,64,1935,109.89,81,0x0000000000000000
16:52:49,3,92,1890,120.85,100,0x0000000000000020
16:52:59,0,91,1905,139.55,100,0x0000000000000020
16:52:59,1,93,1320,100.45,100,0x0000000000000020
16:52:59,2,65,1935,110.91,81,0x0000000000000000
16:52:59,3,92,1597,113.50,100,0x0000000000000020
16:53:09,0,93,1762,133.18,100,0x0000000000000020
16:53:09,1,93,1320,95.67,100,0x0000000000000020
16:53:09,2,65,1935,117.75,81,0x0000000000000000
16:53:09,3,93,1455,104.74,100,0x0000000000000020
16:53:19,0,93,1732,124.08,100,0x0000000000000020
16:53:19,1,93,1170,88.80,100,0x0000000000000020
16:53:19,2,67,1935,118.59,81,0x0000000000000000
16:53:19,3,93,1320,95.88,100,0x0000000000000020
16:53:30,0,93,1455,113.85,100,0x0000000000000020
16:53:30,1,93,1237,88.91,100,0x0000000000000020
16:53:30,2,67,1935,116.43,81,0x0000000000000000
16:53:30,3,93,1320,92.45,100,0x0000000000000020
16:53:40,0,93,1417,109.24,100,0x0000000000000020
16:53:40,1,92,757,80.69,100,0x0000000000000020
16:53:40,2,67,1935,109.28,81,0x0000000000000000
16:53:40,3,93,1320,86.07,100,0x0000000000000020
16:53:50,0,93,1462,100.06,100,0x0000000000000020
16:53:50,1,93,757,80.60,100,0x0000000000000020
16:53:50,2,66,1935,101.20,81,0x0000000000000000
16:53:50,3,93,1320,81.26,100,0x0000000000000020
16:54:00,0,93,1320,98.10,100,0x0000000000000020
16:54:00,1,93,772,79.18,100,0x0000000000000020
16:54:00,2,66,1935,85.15,81,0x0000000000000000
16:54:00,3,93,1320,78.94,100,0x0000000000000020
16:54:10,0,93,1320,97.63,100,0x0000000000000020
16:54:10,1,93,712,80.73,100,0x0000000000000020
16:54:10,2,65,1935,94.57,81,0x0000000000000000
16:54:10,3,93,1320,79.31,100,0x0000000000000020
16:54:20,0,93,1320,102.80,100,0x0000000000000020
16:54:20,1,93,675,78.25,100,0x0000000000000020
16:54:20,2,63,1935,108.71,81,0x0000000000000000
16:54:20,3,93,1320,80.99,100,0x0000000000000020
16:54:30,0,92,1627,93.54,100,0x0000000000000020
16:54:30,1,92,420,70.52,100,0x0000000000000020
16:54:30,2,61,1935,74.12,81,0x0000000000000000
16:54:30,3,92,1320,71.51,100,0x0000000000000020
16:54:40,0,92,1642,108.86,100,0x0000000000000020
16:54:40,1,92,382,70.46,100,0x0000000000000020
16:54:40,2,61,1935,96.99,81,0x0000000000000000
16:54:40,3,92,1320,77.74,100,0x0000000000000020
16:54:50,0,93,1395,103.30,100,0x0000000000000020
16:54:50,1,92,457,70.34,100,0x0000000000000020
16:54:50,2,61,1935,108.15,81,0x0000000000000000
16:54:50,3,93,1320,80.73,100,0x0000000000000020
16:55:00,0,93,1605,102.57,100,0x0000000000000020
16:55:00,1,92,450,70.25,100,0x0000000000000020
16:55:00,2,63,1935,97.23,80,0x0000000000000000
16:55:00,3,93,1320,76.84,100,0x0000000000000020
16:55:10,0,93,1417,92.44,100,0x0000000000000020
16:55:10,1,92,397,70.33,100,0x0000000000000020
16:55:10,2,63,1935,81.42,80,0x0000000000000000
16:55:10,3,93,1237,70.75,100,0x0000000000000020
16:55:20,0,93,1320,86.12,100,0x0000000000000020
16:55:20,1,92,397,70.27,100,0x0000000000000020
16:55:20,2,62,1935,63.68,80,0x0000000000000000
16:55:20,3,93,1305,65.64,100,0x0000000000000020
16:55:31,0,92,1612,80.57,100,0x0000000000000020
16:55:31,1,92,442,70.28,100,0x0000000000000020
16:55:31,2,59,1950,53.88,80,0x0000000000000000
16:55:31,3,92,1320,63.23,100,0x0000000000000020
16:55:41,0,92,1627,89.09,100,0x0000000000000020
16:55:41,1,93,427,70.49,100,0x0000000000000020
16:55:41,2,59,1950,64.72,80,0x0000000000000000
16:55:41,3,92,1320,69.38,100,0x0000000000000020
16:55:51,0,92,1575,104.96,100,0x0000000000000020
16:55:51,1,93,390,70.37,100,0x0000000000000020
16:55:51,2,59,1950,96.11,80,0x0000000000000000
16:55:51,3,92,1320,77.78,100,0x0000000000000020
16:56:01,0,93,1552,105.04,100,0x0000000000000020
16:56:01,1,93,480,70.31,100,0x0000000000000020
16:56:01,2,62,1950,107.47,79,0x0000000000000000
16:56:01,3,93,1320,78.94,100,0x0000000000000020
16:56:11,0,93,1515,91.20,100,0x0000000000000020
16:56:11,1,93,397,70.25,100,0x0000000000000020
16:56:11,2,62,1950,74.42,79,0x0000000000000000
16:56:11,3,93,1260,70.82,100,0x0000000000000020
16:56:21,0,92,1605,81.78,100,0x0000000000000020
16:56:21,1,93,412,70.30,100,0x0000000000000020
16:56:21,2,59,1950,53.83,79,0x0000000000000000
16:56:21,3,92,1320,62.90,100,0x0000000000000020
16:56:31,0,92,1650,102.09,100,0x0000000000000020
16:56:31,1,93,435,70.41,100,0x0000000000000020
16:56:31,2,59,1950,89.54,79,0x0000000000000000
16:56:31,3,92,1320,73.52,100,0x0000000000000020
16:56:41,0,93,1327,102.28,100,0x0000000000000020
16:56:41,1,93,405,70.04,100,0x0000000000000020
16:56:41,2,60,1950,107.51,79,0x0000000000000000
16:56:41,3,93,1252,79.07,100,0x0000000000000020
16:56:51,0,92,1320,85.85,100,0x0000000000000020
16:56:51,1,93,397,70.06,100,0x0000000000000020
16:56:51,2,60,1950,62.34,79,0x0000000000000000
16:56:51,3,93,1080,63.16,100,0x0000000000000020
16:57:01,0,92,1627,90.77,100,0x0000000000000020
16:57:01,1,93,420,70.30,100,0x0000000000000020
16:57:01,2,58,1950,72.37,79,0x0000000000000000
16:57:01,3,92,1320,70.01,100,0x0000000000000020
16:57:11,0,92,1635,84.25,100,0x0000000000000020
16:57:11,1,92,225,62.39,100,0x0000000000000020
16:57:11,2,58,1950,56.92,79,0x0000000000000000
16:57:11,3,92,1320,65.99,100,0x0000000000000020
16:57:21,0,93,1665,102.04,100,0x0000000000000020
16:57:21,1,92,225,62.68,100,0x0000000000000020
16:57:21,2,61,1950,87.18,78,0x0000000000000000
16:57:21,3,93,1320,73.96,100,0x0000000000000020
16:57:32,0,92,1627,80.39,100,0x0000000000000020
16:57:32,1,92,225,63.38,100,0x0000000000000020
16:57:32,2,57,1950,53.49,78,0x0000000000000000
16:57:32,3,92,1320,64.12,100,0x0000000000000020
16:57:42,0,92,1627,91.37,100,0x0000000000000020
16:57:42,1,92,225,62.96,100,0x0000000000000020
16:57:42,2,57,1950,70.20,78,0x0000000000000000
16:57:42,3,92,1320,71.43,100,0x0000000000000020
16:57:52,0,93,1777,113.45,100,0x0000000000000020
16:57:52,1,92,405,68.95,100,0x0000000000000020
16:57:52,2,58,1950,106.81,78,0x0000000000000000
16:57:52,3,93,1072,76.14,100,0x0000000000000020
16:58:02,0,92,1627,88.63,100,0x0000000000000020
16:58:02,1,93,367,69.08,100,0x0000000000000020
16:58:02,2,58,1950,68.06,78,0x0000000000000000
16:58:02,3,92,1320,70.50,100,0x0000000000000020
16:58:12,0,93,1320,84.37,100,0x0000000000000020
16:58:12,1,93,352,68.63,100,0x0000000000000020
16:58:12,2,60,1950,58.21,77,0x0000000000000000
16:58:12,3,93,1035,61.53,100,0x0000000000000020
16:58:22,0,93,1687,105.86,100,0x0000000000000020
16:58:22,1,93,360,67.44,100,0x0000000000000020
16:58:22,2,61,1950,97.66,77,0x0000000000000000
16:58:22,3,93,1222,71.92,100,0x0000000000000020
16:58:32,0,92,1642,103.96,100,0x0000000000000020
16:58:32,1,93,352,68.86,100,0x0000000000000020
16:58:32,2,58,1950,92.22,77,0x0000000000000000
16:58:32,3,92,1320,74.78,100,0x0000000000000020
16:58:42,0,92,1627,81.29,100,0x0000000000000020
16:58:42,1,93,360,67.79,100,0x0000000000000020
16:58:42,2,58,1950,53.57,77,0x0000000000000000
16:58:42,3,92,1320,61.28,100,0x0000000000000020
16:58:52,0,92,1635,83.73,100,0x0000000000000020
16:58:52,1,93,330,67.76,100,0x0000000000000020
16:58:52,2,58,1950,53.62,77,0x0000000000000000
16:58:52,3,92,1320,66.61,100,0x0000000000000020
16:59:02,0,92,1642,85.56,100,0x0000000000000020
16:59:02,1,93,300,67.89,100,0x0000000000000020
16:59:02,2,58,1950,60.03,77,0x0000000000000000
16:59:02,3,92,1320,66.18,100,0x0000000000000020
16:59:12,0,92,1642,90.83,100,0x0000000000000020
16:59:12,1,93,330,67.46,100,0x0000000000000020
16:59:12,2,58,1950,66.81,77,0x0000000000000000
16:59:12,3,92,1320,70.06,100,0x0000000000000020
16:59:22,0,93,1552,111.11,100,0x0000000000000020
16:59:22,1,93,225,62.99,100,0x0000000000000020
16:59:22,2,61,1950,103.61,77,0x0000000000000000
16:59:22,3,93,825,73.43,100,0x0000000000000020
16:59:32,0,92,1627,80.53,100,0x0000000000000020
16:59:32,1,92,225,63.66,100,0x0000000000000020
16:59:32,2,57,1950,53.41,77,0x0000000000000000
16:59:32,3,92,1320,59.69,100,0x0000000000000020
16:59:43,0,92,1605,86.05,100,0x0000000000000020
16:59:43,1,92,225,62.30,100,0x0000000000000020
16:59:43,2,57,1950,59.67,77,0x0000000000000000
16:59:43,3,92,1320,68.71,100,0x0000000000000020
16:59:53,0,94,1725,97.61,100,0x0000000000000020
16:59:53,1,92,225,62.56,100,0x0000000000000020
16:59:53,2,60,1950,75.24,76,0x0000000000000000
16:59:53,3,93,1297,67.40,100,0x0000000000000020
17:00:03,0,92,1627,80.21,100,0x0000000000000020
17:00:03,1,92,225,63.17,100,0x0000000000000020
17:00:03,2,57,1950,53.35,76,0x0000000000000000
17:00:03,3,92,1320,61.23,100,0x0000000000000020
17:00:13,0,92,1627,101.61,100,0x0000000000000020
17:00:13,1,92,225,63.10,100,0x0000000000000020
17:00:13,2,57,1950,80.02,76,0x0000000000000000
17:00:13,3,92,1320,72.54,100,0x0000000000000020
17:00:23,0,92,1680,80.99,100,0x0000000000000020
17:00:23,1,92,225,61.90,100,0x0000000000000020
17:00:23,2,58,1950,54.02,76,0x0000000000000000
17:00:23,3,92,1320,61.69,100,0x0000000000000020
