time,idx,temp_c,sm_mhz,power_w,fan_pct,throttle_hex
13:23:22,0,40,210,13.39,0,0x0000000000000001
13:23:22,1,42,210,11.69,0,0x0000000000000001
13:23:22,2,33,210,8.49,0,0x0000000000000001
13:23:22,3,40,210,11.40,0,0x0000000000000001
13:23:33,0,48,1957,118.47,0,0x0000000000000000
13:23:33,1,51,1912,126.89,0,0x0000000000000000
13:23:33,2,41,1972,119.14,0,0x0000000000000000
13:23:33,3,50,1935,118.82,0,0x0000000000000000
13:23:43,0,54,1972,130.85,0,0x0000000000000000
13:23:43,1,57,1935,136.16,67,0x0000000000000000
13:23:43,2,46,1957,126.90,0,0x0000000000000000
13:23:43,3,55,1957,129.44,56,0x0000000000000000
13:23:53,0,58,1965,132.75,71,0x0000000000000000
13:23:53,1,60,1927,136.69,72,0x0000000000000000
13:23:53,2,50,1942,126.22,0,0x0000000000000000
13:23:53,3,58,1942,129.76,71,0x0000000000000000
13:24:03,0,60,1965,134.54,73,0x0000000000000000
13:24:03,1,63,1920,138.56,75,0x0000000000000000
13:24:03,2,53,1965,127.68,0,0x0000000000000000
13:24:03,3,61,1942,130.26,74,0x0000000000000000
13:24:13,0,62,1957,131.05,76,0x0000000000000000
13:24:13,1,66,1920,137.28,79,0x0000000000000000
13:24:13,2,55,1965,124.07,70,0x0000000000000000
13:24:13,3,64,1935,127.31,77,0x0000000000000000
13:24:23,0,64,1957,133.57,78,0x0000000000000000
13:24:23,1,69,1905,139.65,81,0x0000000000000000
13:24:23,2,57,1950,124.70,70,0x0000000000000000
13:24:23,3,65,1935,128.56,79,0x0000000000000000
13:24:33,0,68,1942,134.18,81,0x0000000000000000
13:24:33,1,72,1905,142.17,85,0x0000000000000000
13:24:33,2,58,1950,125.17,71,0x0000000000000000
13:24:33,3,68,1927,130.87,82,0x0000000000000000
13:24:43,0,70,1942,136.29,83,0x0000000000000000
13:24:43,1,74,1897,143.94,88,0x0000000000000000
13:24:43,2,57,1950,126.94,72,0x0000000000000000
13:24:43,3,70,1927,132.04,84,0x0000000000000000
13:24:53,0,71,1935,137.07,86,0x0000000000000000
13:24:53,1,78,1897,146.51,90,0x0000000000000000
13:24:53,2,60,1950,125.35,73,0x0000000000000000
13:24:53,3,74,1920,133.41,87,0x0000000000000000
13:25:03,0,75,1935,139.37,88,0x0000000000000000
13:25:03,1,81,1890,149.32,93,0x0000000000000000
13:25:03,2,60,1950,126.28,74,0x0000000000000000
13:25:03,3,77,1920,135.91,90,0x0000000000000000
13:25:13,0,77,1927,139.64,90,0x0000000000000000
13:25:13,1,82,1882,152.17,96,0x0000000000000020
13:25:13,2,59,1950,127.74,75,0x0000000000000000
13:25:13,3,78,1912,140.02,92,0x0000000000000000
13:25:24,0,80,1927,146.38,92,0x0000000000000004
