time,idx,temp_c,sm_mhz,power_w,fan_pct,throttle_hex
23:37:12,0,48,210,18.38,0,0x0000000000000001
23:37:12,1,50,210,17.44,0,0x0000000000000001
23:37:12,2,50,210,17.34,0,0x0000000000000001
23:37:12,3,43,210,19.64,0,0x0000000000000001
23:37:22,0,58,1935,139.27,64,0x0000000000000000
23:37:22,1,59,1950,130.94,67,0x0000000000000000
23:37:22,2,59,1950,133.84,68,0x0000000000000000
23:37:22,3,54,1950,131.81,0,0x0000000000000000
23:37:32,0,61,1927,140.01,74,0x0000000000000000
23:37:32,1,61,1942,130.88,74,0x0000000000000000
23:37:32,2,61,1950,134.02,74,0x0000000000000000
23:37:32,3,57,1972,133.62,70,0x0000000000000000
23:37:42,0,64,1927,142.30,76,0x0000000000000000
23:37:42,1,62,1942,131.88,75,0x0000000000000000
23:37:42,2,62,1942,134.29,76,0x0000000000000000
23:37:42,3,58,1972,134.53,71,0x0000000000000000
23:37:52,0,66,1912,143.21,78,0x0000000000000000
23:37:52,1,63,1942,132.16,77,0x0000000000000000
23:37:52,2,64,1942,134.88,77,0x0000000000000000
23:37:52,3,60,1965,135.27,73,0x0000000000000000
23:38:02,0,68,1912,145.40,80,0x0000000000000000
23:38:02,1,64,1942,133.07,78,0x0000000000000000
23:38:02,2,65,1942,135.29,78,0x0000000000000000
23:38:02,3,61,1965,136.47,74,0x0000000000000000
23:38:12,0,69,1905,146.26,82,0x0000000000000000
23:38:12,1,65,1935,133.18,78,0x0000000000000000
23:38:12,2,66,1942,135.90,79,0x0000000000000000
23:38:12,3,62,1965,136.91,75,0x0000000000000000
23:38:22,0,71,1905,148.24,84,0x0000000000000000
23:38:22,1,66,1935,134.18,79,0x0000000000000000
23:38:22,2,66,1927,136.29,80,0x0000000000000000
23:38:22,3,63,1965,137.57,76,0x0000000000000000
23:38:33,0,72,1905,148.45,85,0x0000000000000000
23:38:33,1,66,1935,133.79,80,0x0000000000000000
23:38:33,2,67,1927,136.54,80,0x0000000000000000
23:38:33,3,63,1965,137.55,77,0x0000000000000000
23:38:43,0,67,1905,61.33,86,0x0000000000000000
23:38:43,1,61,1935,52.70,80,0x0000000000000000
23:38:43,2,62,1927,52.69,81,0x0000000000000000
23:38:43,3,59,1965,55.42,78,0x0000000000000000
23:38:53,0,68,1905,119.07,86,0x0000000000000000
23:38:53,1,63,1942,106.26,80,0x0000000000000000
23:38:53,2,62,1942,108.10,81,0x0000000000000000
23:38:53,3,59,1965,110.34,77,0x0000000000000000
23:39:03,0,69,1905,119.93,86,0x0000000000000000
23:39:03,1,63,1942,106.46,80,0x0000000000000000
23:39:03,2,63,1942,108.24,81,0x0000000000000000
23:39:03,3,61,1965,109.38,77,0x0000000000000000
23:39:13,0,69,1905,119.74,86,0x0000000000000000
23:39:13,1,63,1942,106.00,80,0x0000000000000000
23:39:13,2,64,1942,106.49,81,0x0000000000000000
23:39:13,3,61,1965,108.68,77,0x0000000000000000
23:39:23,0,70,1905,120.06,86,0x0000000000000000
23:39:23,1,63,1942,105.89,80,0x0000000000000000
23:39:23,2,64,1942,106.10,81,0x0000000000000000
23:39:23,3,61,1965,108.26,77,0x0000000000000000
23:39:33,0,70,1905,118.56,86,0x0000000000000000
23:39:33,1,63,1942,104.90,80,0x0000000000000000
23:39:33,2,64,1942,105.57,81,0x0000000000000000
23:39:33,3,61,1965,107.75,77,0x0000000000000000
23:39:43,0,70,1905,119.01,86,0x0000000000000000
23:39:43,1,62,1942,105.05,80,0x0000000000000000
23:39:43,2,63,1942,105.79,81,0x0000000000000000
23:39:43,3,59,1965,108.01,77,0x0000000000000000
23:39:53,0,69,1905,121.10,86,0x0000000000000000
23:39:53,1,61,1942,107.28,80,0x0000000000000000
23:39:53,2,61,1942,107.53,80,0x0000000000000000
23:39:53,3,58,1965,110.31,77,0x0000000000000000
23:40:03,0,70,1905,120.38,86,0x0000000000000000
23:40:03,1,63,1942,106.79,80,0x0000000000000000
23:40:03,2,62,1942,107.93,80,0x0000000000000000
23:40:03,3,59,1965,110.24,77,0x0000000000000000
23:40:14,0,70,1905,120.32,86,0x0000000000000000
23:40:14,1,63,1942,106.37,80,0x0000000000000000
23:40:14,2,63,1942,108.28,80,0x0000000000000000
23:40:14,3,61,1965,109.26,77,0x0000000000000000
23:40:24,0,65,1792,43.61,86,0x0000000000000000
23:40:24,1,57,1792,36.19,80,0x0000000000000000
23:40:24,2,58,1792,43.63,80,0x0000000000000000
23:40:24,3,55,1792,44.93,77,0x0000000000000000
23:40:34,0,68,1905,117.32,86,0x0000000000000000
23:40:34,1,59,1942,103.60,79,0x0000000000000000
23:40:34,2,60,1942,104.29,80,0x0000000000000000
23:40:34,3,58,1965,106.45,76,0x0000000000000000
23:40:44,0,69,1905,117.94,86,0x0000000000000000
23:40:44,1,61,1942,105.29,79,0x0000000000000000
23:40:44,2,63,1942,106.88,80,0x0000000000000000
23:40:44,3,58,1965,109.04,76,0x0000000000000000
23:40:54,0,70,1905,118.86,86,0x0000000000000000
23:40:54,1,62,1942,104.65,79,0x0000000000000000
23:40:54,2,63,1942,104.56,80,0x0000000000000000
23:40:54,3,60,1965,106.70,76,0x0000000000000000
23:41:04,0,68,1905,118.35,86,0x0000000000000000
23:41:04,1,60,1942,104.04,79,0x0000000000000000
23:41:04,2,61,1942,104.51,80,0x0000000000000000
23:41:04,3,59,1965,106.96,76,0x0000000000000000
23:41:14,0,70,1905,119.99,86,0x0000000000000000
23:41:14,1,62,1942,106.39,79,0x0000000000000000
23:41:14,2,61,1942,107.25,80,0x0000000000000000
23:41:14,3,58,1965,109.32,76,0x0000000000000000
23:41:24,0,71,1905,119.45,86,0x0000000000000000
23:41:24,1,62,1942,104.64,79,0x0000000000000000
23:41:24,2,64,1942,105.96,80,0x0000000000000000
23:41:24,3,60,1965,106.81,76,0x0000000000000000
23:41:34,0,70,1905,118.65,86,0x0000000000000000
23:41:34,1,62,1942,104.22,79,0x0000000000000000
23:41:34,2,63,1942,104.15,80,0x0000000000000000
23:41:34,3,60,1965,106.37,76,0x0000000000000000
23:41:44,0,70,1905,120.60,86,0x0000000000000000
23:41:44,1,61,1942,104.74,79,0x0000000000000000
23:41:44,2,61,1942,104.99,80,0x0000000000000000
23:41:44,3,58,1965,108.61,76,0x0000000000000000
23:41:54,0,71,1905,120.08,86,0x0000000000000000
23:41:54,1,62,1942,104.75,79,0x0000000000000000
23:41:54,2,64,1942,107.56,79,0x0000000000000000
23:41:54,3,59,1965,109.64,76,0x0000000000000000
23:42:05,0,65,1792,50.15,86,0x0000000000000000
23:42:05,1,57,1792,40.38,79,0x0000000000000000
23:42:05,2,58,1792,41.23,80,0x0000000000000000
23:42:05,3,54,1792,45.71,76,0x0000000000000000
23:42:15,0,69,1905,119.70,86,0x0000000000000000
23:42:15,1,61,1942,105.35,78,0x0000000000000000
23:42:15,2,62,1942,103.41,79,0x0000000000000000
23:42:15,3,59,1965,105.88,76,0x0000000000000000
23:42:25,0,70,1905,121.70,86,0x0000000000000000
23:42:25,1,62,1942,106.54,78,0x0000000000000000
23:42:25,2,63,1942,103.79,79,0x0000000000000000
23:42:25,3,59,1965,106.25,76,0x0000000000000000
23:42:35,0,71,1905,121.60,86,0x0000000000000000
23:42:35,1,62,1942,105.64,78,0x0000000000000000
23:42:35,2,63,1942,107.47,79,0x0000000000000000
23:42:35,3,60,1965,107.65,76,0x0000000000000000
23:42:45,0,71,1905,122.10,86,0x0000000000000000
23:42:45,1,62,1942,106.49,78,0x0000000000000000
23:42:45,2,64,1942,111.12,79,0x0000000000000000
23:42:45,3,60,1965,111.28,76,0x0000000000000000
23:42:55,0,71,1905,122.50,86,0x0000000000000000
23:42:55,1,62,1942,109.73,78,0x0000000000000000
23:42:55,2,64,1942,114.94,79,0x0000000000000000
23:42:55,3,60,1965,115.90,76,0x0000000000000000
23:43:05,0,71,1905,124.72,86,0x0000000000000000
23:43:05,1,62,1942,112.38,78,0x0000000000000000
23:43:05,2,64,1942,115.31,79,0x0000000000000000
23:43:05,3,59,1965,116.96,76,0x0000000000000000
23:43:15,0,71,1905,126.22,86,0x0000000000000000
23:43:15,1,63,1942,112.64,78,0x0000000000000000
23:43:15,2,64,1942,113.15,79,0x0000000000000000
23:43:15,3,59,1965,117.14,76,0x0000000000000000
23:43:25,0,71,1905,124.31,86,0x0000000000000000
23:43:25,1,63,1942,109.43,78,0x0000000000000000
23:43:25,2,63,1942,115.12,79,0x0000000000000000
23:43:25,3,59,1965,113.51,76,0x0000000000000000
23:43:35,0,71,1905,122.82,86,0x0000000000000000
23:43:35,1,62,1942,112.82,78,0x0000000000000000
23:43:35,2,62,1942,113.22,79,0x0000000000000000
23:43:35,3,59,1965,110.86,76,0x0000000000000000
23:43:46,0,71,1905,119.09,86,0x0000000000000000
23:43:46,1,62,1942,103.97,78,0x0000000000000000
23:43:46,2,62,1942,109.53,79,0x0000000000000000
23:43:46,3,60,1965,106.87,76,0x0000000000000000
23:43:56,0,69,1905,77.38,86,0x0000000000000000
23:43:56,1,60,1942,64.73,78,0x0000000000000000
23:43:56,2,60,1792,51.48,79,0x0000000000000000
23:43:56,3,58,1965,67.46,76,0x0000000000000000
23:44:06,0,73,1905,147.97,86,0x0000000000000000
23:44:06,1,64,1942,134.46,78,0x0000000000000000
23:44:06,2,65,1927,138.14,79,0x0000000000000000
23:44:06,3,62,1965,134.36,76,0x0000000000000000
23:44:16,0,72,1897,141.39,87,0x0000000000000000
23:44:16,1,63,1935,124.33,79,0x0000000000000000
23:44:16,2,66,1927,127.89,80,0x0000000000000000
23:44:16,3,61,1965,128.84,76,0x0000000000000000
23:44:26,0,75,1897,149.41,88,0x0000000000000000
23:44:26,1,66,1935,131.71,79,0x0000000000000000
23:44:26,2,67,1927,134.18,80,0x0000000000000000
23:44:26,3,64,1965,135.55,77,0x0000000000000000
23:44:36,0,75,1897,153.02,90,0x0000000000000000
23:44:36,1,65,1935,133.96,80,0x0000000000000000
23:44:36,2,65,1927,135.31,81,0x0000000000000000
23:44:36,3,63,1950,135.84,78,0x0000000000000000
23:44:46,0,77,1897,154.44,90,0x0000000000000000
23:44:46,1,67,1935,136.12,81,0x0000000000000000
23:44:46,2,69,1927,139.00,82,0x0000000000000000
23:44:46,3,65,1950,140.68,78,0x0000000000000000
23:44:56,0,78,1897,151.80,91,0x0000000000000000
23:44:56,1,68,1935,132.80,81,0x0000000000000000
23:44:56,2,69,1927,134.87,82,0x0000000000000000
23:44:56,3,65,1950,136.41,79,0x0000000000000000
23:45:06,0,78,1897,155.02,92,0x0000000000000000
23:45:06,1,68,1935,136.55,82,0x0000000000000000
23:45:06,2,69,1927,139.45,83,0x0000000000000000
23:45:06,3,66,1950,140.96,79,0x0000000000000000
23:45:16,0,79,1897,152.32,92,0x0000000000000000
23:45:16,1,68,1935,133.73,82,0x0000000000000000
23:45:16,2,70,1927,137.44,83,0x0000000000000000
23:45:16,3,66,1950,141.02,79,0x0000000000000000
23:45:26,0,78,1897,152.00,92,0x0000000000000000
23:45:26,1,68,1935,132.78,82,0x0000000000000000
23:45:26,2,70,1927,135.12,84,0x0000000000000000
23:45:26,3,66,1950,136.79,80,0x0000000000000000
23:45:37,0,79,1897,156.04,93,0x0000000000000000
23:45:37,1,69,1935,136.73,83,0x0000000000000000
23:45:37,2,70,1927,139.52,84,0x0000000000000000
23:45:37,3,66,1950,141.66,80,0x0000000000000000
23:45:47,0,79,1890,152.38,93,0x0000000000000000
23:45:47,1,69,1935,132.66,83,0x0000000000000000
23:45:47,2,70,1927,134.82,84,0x0000000000000000
23:45:47,3,66,1950,136.80,80,0x0000000000000000
23:45:57,0,73,1897,61.42,93,0x0000000000000000
23:45:57,1,63,1792,47.23,83,0x0000000000000001
23:45:57,2,64,1792,47.35,85,0x0000000000000000
23:45:57,3,62,1950,56.65,81,0x0000000000000000
23:46:07,0,74,1897,135.78,93,0x0000000000000000
23:46:07,1,66,1935,117.43,83,0x0000000000000000
23:46:07,2,67,1927,118.60,84,0x0000000000000000
23:46:07,3,62,1950,120.28,80,0x0000000000000000
23:46:17,0,76,1897,140.27,93,0x0000000000000000
23:46:17,1,66,1935,123.07,83,0x0000000000000000
23:46:17,2,67,1927,125.36,84,0x0000000000000000
23:46:17,3,64,1950,127.50,80,0x0000000000000000
23:46:27,0,76,1897,139.43,93,0x0000000000000000
23:46:27,1,66,1935,121.96,83,0x0000000000000000
23:46:27,2,67,1927,124.29,84,0x0000000000000000
23:46:27,3,64,1950,126.27,80,0x0000000000000000
23:46:37,0,75,1897,136.17,93,0x0000000000000000
23:46:37,1,66,1935,118.15,83,0x0000000000000000
23:46:37,2,66,1927,122.40,84,0x0000000000000000
23:46:37,3,62,1950,121.71,80,0x0000000000000000
23:46:47,0,76,1897,129.17,93,0x0000000000000000
23:46:47,1,66,1935,111.92,83,0x0000000000000000
23:46:47,2,67,1927,113.96,84,0x0000000000000000
23:46:47,3,64,1950,115.93,80,0x0000000000000000
23:46:57,0,75,1897,130.34,93,0x0000000000000000
23:46:57,1,65,1935,113.43,83,0x0000000000000000
23:46:57,2,67,1927,115.27,84,0x0000000000000000
23:46:57,3,63,1950,119.27,80,0x0000000000000000
23:47:07,0,76,1897,137.86,93,0x0000000000000000
23:47:07,1,66,1935,121.59,83,0x0000000000000000
23:47:07,2,67,1927,123.75,84,0x0000000000000000
23:47:07,3,64,1950,126.24,80,0x0000000000000000
23:47:17,0,76,1897,138.83,93,0x0000000000000000
23:47:17,1,66,1935,121.34,83,0x0000000000000000
23:47:17,2,67,1927,123.26,84,0x0000000000000000
23:47:17,3,63,1950,125.61,80,0x0000000000000000
23:47:28,0,75,1897,135.06,93,0x0000000000000000
23:47:28,1,65,1935,118.48,82,0x0000000000000000
23:47:28,2,66,1927,121.26,84,0x0000000000000000
23:47:28,3,62,1950,121.90,80,0x0000000000000000
23:47:38,0,76,1897,136.97,93,0x0000000000000000
23:47:38,1,66,1935,119.75,83,0x0000000000000000
23:47:38,2,67,1927,122.05,84,0x0000000000000000
23:47:38,3,64,1950,125.00,80,0x0000000000000000
23:47:48,0,75,1897,137.33,92,0x0000000000000000
23:47:48,1,65,1935,120.49,82,0x0000000000000000
23:47:48,2,66,1927,121.61,84,0x0000000000000000
23:47:48,3,63,1950,123.93,80,0x0000000000000000
23:47:58,0,76,1897,127.68,92,0x0000000000000000
23:47:58,1,66,1935,113.36,82,0x0000000000000000
23:47:58,2,67,1927,115.10,84,0x0000000000000000
23:47:58,3,64,1950,116.47,80,0x0000000000000000
23:48:08,0,75,1897,137.39,92,0x0000000000000000
23:48:08,1,65,1935,120.84,82,0x0000000000000000
23:48:08,2,67,1927,123.03,84,0x0000000000000000
23:48:08,3,63,1950,123.90,80,0x0000000000000000
23:48:18,0,76,1897,138.80,92,0x0000000000000000
23:48:18,1,66,1935,121.82,82,0x0000000000000000
23:48:18,2,67,1927,123.91,84,0x0000000000000000
23:48:18,3,63,1950,126.37,80,0x0000000000000000
23:48:28,0,76,1897,139.38,92,0x0000000000000000
23:48:28,1,66,1935,121.76,82,0x0000000000000000
23:48:28,2,67,1927,124.40,83,0x0000000000000000
23:48:28,3,63,1950,125.66,80,0x0000000000000000
23:48:38,0,74,1897,137.57,92,0x0000000000000000
23:48:38,1,65,1935,116.86,82,0x0000000000000000
23:48:38,2,66,1927,119.67,84,0x0000000000000000
23:48:38,3,62,1950,124.16,80,0x0000000000000000
23:48:48,0,76,1897,138.10,92,0x0000000000000000
23:48:48,1,66,1935,120.40,82,0x0000000000000000
23:48:48,2,67,1927,122.46,83,0x0000000000000000
23:48:48,3,64,1950,124.55,80,0x0000000000000000
23:48:58,0,71,1905,109.05,92,0x0000000000000000
23:48:58,1,61,1942,92.79,82,0x0000000000000000
23:48:58,2,62,1927,94.14,83,0x0000000000000000
23:48:58,3,59,1965,93.86,79,0x0000000000000000
23:49:08,0,71,1905,117.54,92,0x0000000000000000
23:49:08,1,62,1942,101.27,82,0x0000000000000000
23:49:08,2,63,1927,103.88,83,0x0000000000000000
23:49:08,3,60,1965,106.11,79,0x0000000000000000
23:49:19,0,71,1905,104.24,92,0x0000000000000000
23:49:19,1,62,1942,91.18,82,0x0000000000000000
23:49:19,2,63,1927,93.02,83,0x0000000000000000
23:49:19,3,59,1965,97.52,79,0x0000000000000000
23:49:29,0,71,1905,113.40,91,0x0000000000000000
23:49:29,1,62,1942,100.21,81,0x0000000000000000
23:49:29,2,63,1927,101.62,83,0x0000000000000000
23:49:29,3,59,1965,106.71,79,0x0000000000000000
23:49:39,0,70,1905,111.29,91,0x0000000000000000
23:49:39,1,61,1942,97.26,81,0x0000000000000000
23:49:39,2,62,1927,98.26,83,0x0000000000000000
23:49:39,3,59,1965,100.68,79,0x0000000000000000
23:49:49,0,70,1905,119.32,91,0x0000000000000000
23:49:49,1,62,1942,105.98,81,0x0000000000000000
23:49:49,2,63,1927,107.95,82,0x0000000000000000
23:49:49,3,59,1965,109.09,79,0x0000000000000000
23:49:59,0,69,1905,111.61,91,0x0000000000000000
23:49:59,1,61,1942,97.04,81,0x0000000000000000
23:49:59,2,62,1942,98.67,82,0x0000000000000000
23:49:59,3,58,1965,100.89,78,0x0000000000000000
23:50:09,0,70,1905,118.31,90,0x0000000000000000
23:50:09,1,61,1942,104.36,81,0x0000000000000000
23:50:09,2,63,1942,106.35,82,0x0000000000000000
23:50:09,3,59,1965,108.20,78,0x0000000000000000
23:50:19,0,69,1905,111.82,90,0x0000000000000000
23:50:19,1,61,1942,97.69,81,0x0000000000000000
23:50:19,2,62,1942,98.68,82,0x0000000000000000
23:50:19,3,58,1965,101.31,78,0x0000000000000000
23:50:29,0,70,1905,112.49,90,0x0000000000000000
23:50:29,1,62,1942,98.81,81,0x0000000000000000
23:50:29,2,63,1942,101.26,82,0x0000000000000000
23:50:29,3,59,1965,101.99,78,0x0000000000000000
23:50:39,0,69,1905,110.47,90,0x0000000000000000
23:50:39,1,60,1942,95.54,80,0x0000000000000000
23:50:39,2,62,1942,95.15,82,0x0000000000000000
23:50:39,3,58,1965,99.89,78,0x0000000000000000
23:50:49,0,69,1905,113.69,90,0x0000000000000000
23:50:49,1,61,1942,100.25,80,0x0000000000000000
23:50:49,2,63,1942,102.24,81,0x0000000000000000
23:50:49,3,59,1965,104.50,78,0x0000000000000000
23:50:59,0,69,1905,110.38,89,0x0000000000000000
23:50:59,1,61,1942,96.81,80,0x0000000000000000
23:50:59,2,62,1942,97.83,81,0x0000000000000000
23:50:59,3,58,1965,99.82,78,0x0000000000000000
23:51:10,0,70,1905,119.92,89,0x0000000000000000
23:51:10,1,61,1942,106.29,80,0x0000000000000000
23:51:10,2,62,1942,109.03,81,0x0000000000000000
23:51:10,3,59,1965,109.89,77,0x0000000000000000
23:51:20,0,69,1905,107.61,89,0x0000000000000000
23:51:20,1,61,1942,93.72,80,0x0000000000000000
23:51:20,2,61,1942,94.30,81,0x0000000000000000
23:51:20,3,58,1965,97.11,77,0x0000000000000000
23:51:30,0,69,1905,113.94,89,0x0000000000000000
23:51:30,1,61,1942,101.38,80,0x0000000000000000
23:51:30,2,63,1942,103.05,81,0x0000000000000000
23:51:30,3,59,1965,105.31,77,0x0000000000000000
23:51:40,0,69,1905,107.08,89,0x0000000000000000
23:51:40,1,61,1942,93.31,80,0x0000000000000000
23:51:40,2,62,1942,93.99,81,0x0000000000000000
23:51:40,3,58,1965,97.11,77,0x0000000000000000
23:51:50,0,69,1905,120.60,88,0x0000000000000000
23:51:50,1,61,1942,107.34,79,0x0000000000000000
23:51:50,2,62,1942,108.43,81,0x0000000000000000
23:51:50,3,58,1965,110.96,77,0x0000000000000000
23:52:00,0,68,1905,105.18,88,0x0000000000000000
23:52:00,1,60,1942,92.39,79,0x0000000000000000
23:52:00,2,62,1942,92.45,81,0x0000000000000000
23:52:00,3,58,1965,94.47,77,0x0000000000000000
23:52:10,0,69,1905,118.14,88,0x0000000000000000
23:52:10,1,61,1942,104.74,79,0x0000000000000000
23:52:10,2,62,1942,109.09,80,0x0000000000000000
23:52:10,3,58,1965,109.09,76,0x0000000000000000
23:52:20,0,70,1905,103.70,88,0x0000000000000000
