time,idx,temp_c,sm_mhz,power_w,fan_pct,throttle_hex
20:43:29,0,44,210,11.66,0,0x0000000000000001
20:43:29,1,44,210,17.77,0,0x0000000000000001
20:43:29,2,45,210,16.74,0,0x0000000000000001
20:43:29,3,37,210,12.98,0,0x0000000000000001
20:43:39,0,55,1957,129.30,0,0x0000000000000000
20:43:39,1,55,1935,133.39,0,0x0000000000000000
20:43:39,2,55,1965,130.05,0,0x0000000000000000
20:43:39,3,47,1965,128.34,0,0x0000000000000000
20:43:49,0,59,1950,129.95,0,0x0000000000000000
20:43:49,1,57,1927,134.37,71,0x0000000000000000
20:43:49,2,57,1950,130.15,72,0x0000000000000000
20:43:49,3,52,1950,128.93,0,0x0000000000000000
20:43:59,0,63,1942,134.55,0,0x0000000000000000
20:43:59,1,59,1927,138.46,72,0x0000000000000000
20:43:59,2,59,1950,134.64,72,0x0000000000000000
20:43:59,3,56,1972,134.73,70,0x0000000000000000
20:44:09,0,67,1927,134.24,0,0x0000000000000000
20:44:09,1,61,1927,136.90,74,0x0000000000000000
20:44:09,2,61,1950,131.51,74,0x0000000000000000
20:44:09,3,57,1972,136.03,70,0x0000000000000000
20:44:19,0,70,1927,135.70,0,0x0000000000000000
20:44:19,1,62,1927,137.19,75,0x0000000000000000
20:44:19,2,61,1942,131.80,75,0x0000000000000000
20:44:19,3,58,1965,132.61,72,0x0000000000000000
20:44:29,0,74,1920,141.95,0,0x0000000000000000
20:44:29,1,63,1920,138.73,76,0x0000000000000000
20:44:29,2,63,1942,132.85,76,0x0000000000000000
20:44:29,3,60,1965,133.30,73,0x0000000000000000
20:44:39,0,77,1912,141.70,0,0x0000000000000000
20:44:39,1,64,1920,138.09,77,0x0000000000000000
20:44:39,2,64,1942,136.61,77,0x0000000000000000
20:44:39,3,61,1965,133.06,74,0x0000000000000000
20:44:49,0,82,1905,142.85,0,0x0000000000000000
20:44:49,1,65,1920,142.01,78,0x0000000000000000
20:44:49,2,64,1942,132.62,78,0x0000000000000000
20:44:49,3,61,1965,137.29,75,0x0000000000000000
20:45:00,0,85,1830,144.69,0,0x0000000000000020
20:45:00,1,65,1920,138.04,79,0x0000000000000000
20:45:00,2,65,1942,135.86,79,0x0000000000000000
20:45:00,3,60,1965,133.95,76,0x0000000000000000
20:45:10,0,88,1807,144.31,0,0x0000000000000020
