time,idx,temp_c,sm_mhz,power_w,fan_pct,throttle_hex
21:38:19,0,42,210,19.37,0,0x0000000000000001
21:38:19,1,67,210,21.66,92,0x0000000000000001
21:38:19,2,42,210,18.06,67,0x0000000000000001
21:38:19,3,42,210,18.47,63,0x0000000000000001
21:38:29,0,50,1950,118.21,0,0x0000000000000000
21:38:29,1,73,1920,130.16,91,0x0000000000000000
21:38:29,2,48,1950,117.53,0,0x0000000000000000
21:38:29,3,49,1912,119.43,0,0x0000000000000000
21:38:39,0,54,1972,123.53,69,0x0000000000000000
21:38:39,1,77,1912,133.21,91,0x0000000000000000
21:38:39,2,54,1965,123.18,66,0x0000000000000000
21:38:39,3,56,1935,130.27,69,0x0000000000000000
21:38:49,0,57,1972,127.91,70,0x0000000000000000
21:38:49,1,81,1912,138.94,93,0x0000000000000000
21:38:49,2,57,1950,123.86,70,0x0000000000000000
21:38:49,3,58,1927,131.17,71,0x0000000000000000
21:38:59,0,57,1972,115.69,71,0x0000000000000000
21:38:59,1,81,1897,129.66,95,0x0000000000000000
21:38:59,2,56,1950,114.02,72,0x0000000000000000
21:38:59,3,58,1927,118.55,72,0x0000000000000000
21:39:09,0,60,1957,127.53,72,0x0000000000000000
21:39:09,1,85,1807,140.32,98,0x0000000000000020
21:39:09,2,60,1950,125.59,73,0x0000000000000000
21:39:09,3,61,1927,131.64,74,0x0000000000000000
21:39:19,0,60,1957,118.42,73,0x0000000000000000
21:39:19,1,87,1807,132.03,99,0x0000000000000020
21:39:19,2,61,1942,115.14,74,0x0000000000000000
21:39:19,3,62,1927,122.53,75,0x0000000000000000
21:39:29,0,61,1957,128.26,74,0x0000000000000000
21:39:29,1,88,1770,141.68,100,0x0000000000000020
21:39:29,2,62,1942,126.30,75,0x0000000000000000
21:39:29,3,63,1927,132.54,76,0x0000000000000000
21:39:39,0,61,1957,119.62,74,0x0000000000000000
21:39:39,1,89,1732,135.80,100,0x0000000000000020
21:39:39,2,63,1942,124.14,76,0x0000000000000000
21:39:39,3,63,1920,131.39,77,0x0000000000000000
21:39:49,0,59,1957,117.80,75,0x0000000000000000
21:39:49,1,90,1882,139.23,100,0x0000000000000020
21:39:49,2,61,1942,110.06,77,0x0000000000000000
21:39:49,3,61,1920,120.01,77,0x0000000000000000
21:40:00,0,62,1957,127.56,75,0x0000000000000000
21:40:00,1,92,1665,143.27,100,0x0000000000000020
21:40:00,2,64,1942,126.54,77,0x0000000000000000
21:40:00,3,64,1920,133.49,78,0x0000000000000000
21:40:10,0,62,1957,127.12,76,0x0000000000000000
21:40:10,1,93,1680,136.49,100,0x0000000000000020
21:40:10,2,65,1942,125.87,78,0x0000000000000000
21:40:10,3,65,1920,132.52,78,0x0000000000000000
21:40:20,0,62,1957,125.95,76,0x0000000000000000
21:40:20,1,93,1657,126.61,100,0x0000000000000020
21:40:20,2,64,1942,125.05,78,0x0000000000000000
21:40:20,3,65,1920,132.23,78,0x0000000000000000
21:40:30,0,62,1957,121.93,76,0x0000000000000000
21:40:30,1,92,1320,115.76,100,0x0000000000000020
21:40:30,2,65,1942,119.84,78,0x0000000000000000
21:40:30,3,65,1920,127.20,79,0x0000000000000000
21:40:40,0,60,1957,112.02,76,0x0000000000000000
21:40:40,1,93,1777,112.90,100,0x0000000000000020
21:40:40,2,65,1942,119.75,79,0x0000000000000000
21:40:40,3,65,1920,126.49,79,0x0000000000000000
21:40:50,0,60,1957,116.18,76,0x0000000000000000
21:40:50,1,92,1320,107.60,100,0x0000000000000020
