time,idx,temp_c,sm_mhz,power_w,fan_pct,throttle_hex
23:16:46,0,44,210,18.74,68,0x0000000000000001
23:16:46,1,42,210,17.16,0,0x0000000000000001
23:16:46,2,42,210,8.60,0,0x0000000000000001
23:16:46,3,42,210,19.75,0,0x0000000000000001
23:16:56,0,53,1912,133.90,67,0x0000000000000000
23:16:56,1,53,1935,124.60,0,0x0000000000000000
23:16:56,2,52,1965,127.78,0,0x0000000000000000
23:16:56,3,51,1950,128.35,0,0x0000000000000000
23:17:06,0,57,1935,135.23,69,0x0000000000000000
23:17:06,1,56,1950,126.12,70,0x0000000000000000
23:17:06,2,56,1957,129.09,70,0x0000000000000000
23:17:06,3,55,1972,130.37,68,0x0000000000000000
23:17:16,0,59,1927,140.25,72,0x0000000000000000
23:17:16,1,58,1950,130.69,71,0x0000000000000000
23:17:16,2,58,1957,134.77,71,0x0000000000000000
23:17:16,3,57,1972,136.11,70,0x0000000000000000
23:17:26,0,62,1927,142.54,75,0x0000000000000000
23:17:26,1,60,1942,131.62,73,0x0000000000000000
23:17:26,2,60,1957,135.03,73,0x0000000000000000
23:17:26,3,59,1965,136.68,72,0x0000000000000000
23:17:36,0,64,1912,141.32,77,0x0000000000000000
23:17:36,1,61,1942,130.99,75,0x0000000000000000
23:17:36,2,61,1942,133.76,74,0x0000000000000000
23:17:36,3,60,1965,134.56,73,0x0000000000000000
23:17:46,0,66,1912,141.90,79,0x0000000000000000
23:17:46,1,62,1942,129.40,76,0x0000000000000000
23:17:46,2,62,1942,131.55,76,0x0000000000000000
23:17:46,3,61,1965,133.65,74,0x0000000000000000
23:17:56,0,67,1912,144.05,81,0x0000000000000000
23:17:56,1,63,1942,129.51,77,0x0000000000000000
23:17:56,2,63,1942,131.55,77,0x0000000000000000
23:17:56,3,60,1965,135.09,75,0x0000000000000000
23:18:07,0,69,1912,148.09,82,0x0000000000000000
23:18:07,1,64,1942,134.38,78,0x0000000000000000
23:18:07,2,64,1942,137.03,78,0x0000000000000000
23:18:07,3,63,1965,139.22,76,0x0000000000000000
23:18:17,0,70,1905,145.56,84,0x0000000000000000
23:18:17,1,65,1935,130.68,78,0x0000000000000000
23:18:17,2,65,1942,132.93,78,0x0000000000000000
23:18:17,3,63,1965,135.17,77,0x0000000000000000
23:18:27,0,72,1905,149.86,85,0x0000000000000000
23:18:27,1,66,1935,134.32,79,0x0000000000000000
23:18:27,2,66,1927,137.59,79,0x0000000000000000
23:18:27,3,63,1950,139.93,77,0x0000000000000000
23:18:37,0,72,1905,150.54,86,0x0000000000000000
23:18:37,1,66,1935,134.99,79,0x0000000000000000
23:18:37,2,66,1927,137.61,80,0x0000000000000000
23:18:37,3,64,1950,140.13,78,0x0000000000000000
23:18:47,0,72,1905,147.73,87,0x0000000000000000
23:18:47,1,65,1935,130.52,80,0x0000000000000000
23:18:47,2,66,1927,132.23,80,0x0000000000000000
23:18:47,3,64,1950,135.23,78,0x0000000000000000
23:18:57,0,74,1905,151.65,87,0x0000000000000000
23:18:57,1,67,1935,135.24,80,0x0000000000000000
23:18:57,2,67,1927,138.74,81,0x0000000000000000
23:18:57,3,65,1950,140.89,78,0x0000000000000000
23:19:07,0,75,1897,139.01,88,0x0000000000000000
23:19:07,1,67,1935,124.28,81,0x0000000000000000
23:19:07,2,67,1927,126.75,81,0x0000000000000000
23:19:07,3,65,1950,130.26,79,0x0000000000000000
23:19:17,0,74,1897,150.50,89,0x0000000000000000
23:19:17,1,65,1935,131.40,81,0x0000000000000000
23:19:17,2,67,1927,133.56,81,0x0000000000000000
23:19:17,3,63,1950,135.87,79,0x0000000000000000
23:19:27,0,76,1897,152.99,89,0x0000000000000000
23:19:27,1,67,1935,135.30,81,0x0000000000000000
23:19:27,2,68,1927,138.17,82,0x0000000000000000
23:19:27,3,65,1950,140.54,79,0x0000000000000000
23:19:37,0,77,1897,150.58,90,0x0000000000000000
23:19:37,1,68,1935,132.34,81,0x0000000000000000
23:19:37,2,69,1927,134.46,82,0x0000000000000000
23:19:37,3,65,1950,136.78,79,0x0000000000000000
23:19:47,0,77,1897,152.68,90,0x0000000000000000
23:19:47,1,67,1935,135.15,82,0x0000000000000000
23:19:47,2,67,1927,137.36,82,0x0000000000000000
23:19:47,3,65,1950,135.74,79,0x0000000000000000
23:19:58,0,77,1897,151.66,91,0x0000000000000000
23:19:58,1,68,1935,133.30,82,0x0000000000000000
23:19:58,2,69,1927,135.18,83,0x0000000000000000
23:19:58,3,65,1950,140.97,80,0x0000000000000000
23:20:08,0,77,1897,151.41,91,0x0000000000000004
23:20:08,1,68,1935,132.70,82,0x0000000000000000
23:20:08,2,68,1927,134.83,83,0x0000000000000000
23:20:08,3,65,1950,136.82,80,0x0000000000000000
23:20:18,0,78,1897,144.50,92,0x0000000000000000
23:20:18,1,68,1935,126.17,82,0x0000000000000000
23:20:18,2,69,1927,128.49,83,0x0000000000000000
23:20:18,3,66,1950,130.92,80,0x0000000000000000
23:20:28,0,78,1897,152.04,92,0x0000000000000000
23:20:28,1,68,1935,132.74,82,0x0000000000000000
23:20:28,2,69,1927,134.88,83,0x0000000000000000
23:20:28,3,66,1950,136.91,80,0x0000000000000000
23:20:38,0,77,1897,154.93,92,0x0000000000000000
