time,idx,temp_c,sm_mhz,power_w,fan_pct,throttle_hex
23:59:55,0,56,210,21.01,82,0x0000000000000001
23:59:55,1,48,210,18.40,74,0x0000000000000001
23:59:55,2,49,210,18.11,75,0x0000000000000001
23:59:55,3,44,210,21.37,70,0x0000000000000001
00:00:06,0,66,1912,153.95,81,0x0000000000000000
00:00:06,1,47,210,18.25,72,0x0000000000000001
00:00:06,2,48,210,17.97,73,0x0000000000000001
00:00:06,3,43,210,21.19,69,0x0000000000000001
00:00:16,0,68,1912,155.12,81,0x0000000000000000
00:00:16,1,46,210,18.18,71,0x0000000000000001
00:00:16,2,47,210,17.88,72,0x0000000000000001
00:00:16,3,42,210,20.95,67,0x0000000000000001
00:00:26,0,71,1905,156.80,83,0x0000000000000000
00:00:26,1,45,210,18.06,70,0x0000000000000001
00:00:26,2,46,210,17.85,71,0x0000000000000001
00:00:26,3,41,210,19.74,0,0x0000000000000001
00:00:36,0,72,1905,158.55,85,0x0000000000000000
00:00:36,1,44,210,17.97,68,0x0000000000000001
00:00:36,2,45,210,17.73,70,0x0000000000000001
00:00:36,3,42,210,19.76,0,0x0000000000000001
00:00:46,0,73,1905,159.91,87,0x0000000000000004
00:00:46,1,43,210,17.89,68,0x0000000000000001
00:00:46,2,44,210,17.71,69,0x0000000000000001
00:00:46,3,42,210,19.65,0,0x0000000000000001
00:00:56,0,74,1897,159.85,88,0x0000000000000000
00:00:56,1,42,210,17.82,67,0x0000000000000001
00:00:56,2,43,210,17.56,68,0x0000000000000001
00:00:56,3,42,210,19.71,0,0x0000000000000001
00:01:06,0,75,1897,160.82,88,0x0000000000000000
00:01:06,1,42,210,17.16,0,0x0000000000000001
00:01:06,2,43,210,17.55,67,0x0000000000000001
00:01:06,3,42,210,19.68,0,0x0000000000000001
00:01:16,0,73,1905,152.83,89,0x0000000000000000
00:01:16,1,43,210,17.25,0,0x0000000000000001
00:01:16,2,42,210,17.38,66,0x0000000000000001
00:01:16,3,42,210,19.75,0,0x0000000000000001
00:01:26,0,74,1905,152.88,89,0x0000000000000000
00:01:26,1,43,210,17.35,0,0x0000000000000001
00:01:26,2,42,210,16.76,0,0x0000000000000001
00:01:26,3,42,210,19.78,0,0x0000000000000001
00:01:37,0,74,1905,153.28,89,0x0000000000000000
00:01:37,1,43,210,17.35,0,0x0000000000000001
00:01:37,2,43,210,16.73,0,0x0000000000000001
00:01:37,3,43,210,19.69,0,0x0000000000000001
00:01:47,0,74,1905,153.51,89,0x0000000000000000
00:01:47,1,44,210,17.33,0,0x0000000000000001
00:01:47,2,43,210,16.75,0,0x0000000000000001
00:01:47,3,43,210,19.73,0,0x0000000000000001
00:01:57,0,73,1905,153.07,89,0x0000000000000000
00:01:57,1,44,210,17.39,0,0x0000000000000001
00:01:57,2,44,210,16.71,0,0x0000000000000001
00:01:57,3,43,210,19.75,0,0x0000000000000001
00:02:07,0,73,1905,153.18,89,0x0000000000000000
00:02:07,1,44,210,17.39,0,0x0000000000000001
00:02:07,2,44,210,16.73,0,0x0000000000000001
00:02:07,3,43,210,19.66,0,0x0000000000000001
00:02:17,0,73,1905,152.52,89,0x0000000000000000
00:02:17,1,44,210,17.44,0,0x0000000000000001
00:02:17,2,45,210,16.78,0,0x0000000000000001
00:02:17,3,43,210,19.67,0,0x0000000000000001
00:02:27,0,73,1905,153.01,89,0x0000000000000000
00:02:27,1,45,210,17.34,0,0x0000000000000001
00:02:27,2,45,210,16.76,0,0x0000000000000001
00:02:27,3,43,210,19.75,0,0x0000000000000001
00:02:37,0,73,1905,151.67,89,0x0000000000000000
00:02:37,1,45,210,17.42,0,0x0000000000000001
00:02:37,2,45,210,16.91,0,0x0000000000000001
00:02:37,3,43,210,19.81,0,0x0000000000000001
00:02:47,0,73,1905,153.00,89,0x0000000000000000
00:02:47,1,45,210,17.49,0,0x0000000000000001
00:02:47,2,46,210,16.82,0,0x0000000000000001
00:02:47,3,42,210,19.74,0,0x0000000000000001
00:02:57,0,73,1905,152.78,89,0x0000000000000000
00:02:57,1,45,210,17.51,0,0x0000000000000001
00:02:57,2,46,210,16.87,0,0x0000000000000001
00:02:57,3,43,210,19.76,0,0x0000000000000001
00:03:08,0,71,1905,151.46,89,0x0000000000000000
00:03:08,1,45,210,17.34,0,0x0000000000000001
00:03:08,2,46,210,16.91,0,0x0000000000000001
00:03:08,3,43,210,19.73,0,0x0000000000000001
00:03:18,0,72,1905,151.05,89,0x0000000000000000
00:03:18,1,46,210,17.38,0,0x0000000000000001
00:03:18,2,46,210,16.83,0,0x0000000000000001
00:03:18,3,43,210,19.65,0,0x0000000000000001
00:03:28,0,72,1905,151.57,89,0x0000000000000000
00:03:28,1,46,210,17.36,0,0x0000000000000001
00:03:28,2,47,210,16.77,0,0x0000000000000001
00:03:28,3,43,210,19.64,0,0x0000000000000001
00:03:38,0,72,1905,151.60,89,0x0000000000000000
00:03:38,1,46,210,17.40,0,0x0000000000000001
00:03:38,2,47,210,16.83,0,0x0000000000000001
00:03:38,3,43,210,19.66,0,0x0000000000000001
00:03:48,0,72,1905,151.22,89,0x0000000000000000
00:03:48,1,46,210,17.42,0,0x0000000000000001
00:03:48,2,47,210,17.01,0,0x0000000000000001
00:03:48,3,43,210,19.68,0,0x0000000000000001
00:03:58,0,73,1905,151.36,89,0x0000000000000000
00:03:58,1,46,210,17.46,0,0x0000000000000001
00:03:58,2,48,210,17.09,0,0x0000000000000001
00:03:58,3,43,210,19.72,0,0x0000000000000001
00:04:08,0,68,1905,81.56,89,0x0000000000000000
00:04:08,1,46,210,17.37,0,0x0000000000000001
00:04:08,2,48,210,17.08,0,0x0000000000000001
00:04:08,3,43,210,19.70,0,0x0000000000000001
00:04:18,0,72,1905,156.33,89,0x0000000000000000
00:04:18,1,46,210,17.40,0,0x0000000000000001
00:04:18,2,48,210,17.08,0,0x0000000000000001
00:04:18,3,43,210,19.75,0,0x0000000000000001
00:04:28,0,72,1905,155.33,89,0x0000000000000000
00:04:28,1,46,210,17.40,0,0x0000000000000001
00:04:28,2,48,210,17.14,0,0x0000000000000001
00:04:28,3,43,210,19.71,0,0x0000000000000001
00:04:39,0,72,1905,155.91,89,0x0000000000000000
00:04:39,1,47,210,17.38,0,0x0000000000000001
00:04:39,2,48,210,17.07,0,0x0000000000000001
00:04:39,3,43,210,19.66,0,0x0000000000000001
00:04:49,0,72,1905,155.96,89,0x0000000000000000
00:04:49,1,47,210,17.39,0,0x0000000000000001
00:04:49,2,49,210,17.14,0,0x0000000000000001
00:04:49,3,43,210,19.66,0,0x0000000000000001
00:04:59,0,73,1905,156.35,89,0x0000000000000000
00:04:59,1,47,210,17.41,0,0x0000000000000001
00:04:59,2,49,210,17.07,0,0x0000000000000001
00:04:59,3,43,210,19.72,0,0x0000000000000001
00:05:09,0,72,1905,146.24,89,0x0000000000000000
00:05:09,1,47,210,17.46,0,0x0000000000000001
00:05:09,2,49,210,17.12,0,0x0000000000000001
00:05:09,3,43,210,19.73,0,0x0000000000000001
00:05:19,0,73,1905,156.77,89,0x0000000000000000
00:05:19,1,47,210,17.42,0,0x0000000000000001
00:05:19,2,49,210,17.21,0,0x0000000000000001
00:05:19,3,43,210,19.72,0,0x0000000000000001
00:05:29,0,73,1905,156.61,89,0x0000000000000000
00:05:29,1,47,210,17.42,0,0x0000000000000001
00:05:29,2,49,210,17.15,0,0x0000000000000001
00:05:29,3,43,210,19.65,0,0x0000000000000001
00:05:39,0,73,1905,156.60,89,0x0000000000000000
