time,idx,temp_c,sm_mhz,power_w,fan_pct,throttle_hex
10:41:30,0,42,210,18.45,0,0x0000000000000001
10:41:30,1,37,210,10.64,0,0x0000000000000001
10:41:30,2,36,210,18.26,0,0x0000000000000001
10:41:30,3,38,210,16.17,0,0x0000000000000001
10:41:40,0,50,1912,133.73,0,0x0000000000000000
10:41:40,1,47,1935,124.85,0,0x0000000000000000
10:41:40,2,45,1965,127.73,0,0x0000000000000000
10:41:40,3,48,1957,130.01,0,0x0000000000000000
10:41:50,0,57,1935,138.42,69,0x0000000000000000
10:41:50,1,53,1957,126.92,0,0x0000000000000000
10:41:50,2,51,1950,129.55,0,0x0000000000000000
10:41:50,3,52,1942,131.23,0,0x0000000000000000
10:42:00,0,59,1935,136.77,71,0x0000000000000000
10:42:00,1,55,1957,125.19,70,0x0000000000000000
10:42:00,2,54,1972,127.83,58,0x0000000000000000
10:42:00,3,55,1957,128.95,69,0x0000000000000000
10:42:10,0,60,1927,137.09,73,0x0000000000000000
10:42:10,1,57,1950,128.81,70,0x0000000000000000
10:42:10,2,56,1972,132.78,69,0x0000000000000000
10:42:10,3,58,1957,129.03,70,0x0000000000000000
10:42:20,0,62,1927,142.45,75,0x0000000000000000
10:42:20,1,58,1950,126.13,71,0x0000000000000000
10:42:20,2,56,1972,129.65,71,0x0000000000000000
10:42:20,3,59,1950,130.14,73,0x0000000000000000
10:42:30,0,63,1927,139.29,77,0x0000000000000000
10:42:30,1,59,1950,130.24,72,0x0000000000000000
10:42:30,2,58,1972,134.35,72,0x0000000000000000
10:42:30,3,61,1950,135.05,74,0x0000000000000000
10:42:41,0,65,1927,142.97,78,0x0000000000000000
10:42:41,1,60,1950,127.16,73,0x0000000000000000
10:42:41,2,59,1957,130.95,73,0x0000000000000000
10:42:41,3,62,1950,131.04,75,0x0000000000000000
10:42:51,0,66,1912,144.10,79,0x0000000000000000
10:42:51,1,60,1950,131.16,74,0x0000000000000000
10:42:51,2,60,1957,134.95,73,0x0000000000000000
10:42:51,3,63,1950,136.07,76,0x0000000000000000
10:43:01,0,67,1912,144.91,80,0x0000000000000000
10:43:01,1,61,1950,127.44,74,0x0000000000000000
10:43:01,2,61,1957,131.58,74,0x0000000000000000
10:43:01,3,63,1935,131.55,77,0x0000000000000000
10:43:11,0,67,1912,142.19,81,0x0000000000000000
10:43:11,1,62,1950,128.19,75,0x0000000000000000
10:43:11,2,61,1957,132.93,75,0x0000000000000000
10:43:11,3,64,1935,131.35,78,0x0000000000000000
10:43:21,0,69,1912,143.91,82,0x0000000000000000
10:43:21,1,62,1942,131.50,75,0x0000000000000000
10:43:21,2,61,1957,135.77,75,0x0000000000000000
10:43:21,3,65,1935,136.62,79,0x0000000000000000
10:43:31,0,68,1912,143.73,83,0x0000000000000000
10:43:31,1,62,1942,128.93,76,0x0000000000000000
10:43:31,2,62,1957,133.88,76,0x0000000000000000
10:43:31,3,66,1935,132.42,79,0x0000000000000000
10:43:41,0,70,1905,145.05,83,0x0000000000000000
10:43:41,1,62,1942,132.35,76,0x0000000000000000
10:43:41,2,62,1957,136.91,76,0x0000000000000000
10:43:41,3,66,1935,138.36,80,0x0000000000000000
10:43:51,0,71,1905,148.32,84,0x0000000000000000
10:43:51,1,63,1942,130.99,77,0x0000000000000000
10:43:51,2,62,1957,136.56,76,0x0000000000000000
10:43:51,3,67,1935,134.55,80,0x0000000000000000
10:44:01,0,71,1905,133.87,84,0x0000000000000000
10:44:01,1,63,1942,122.61,77,0x0000000000000000
10:44:01,2,62,1957,126.48,77,0x0000000000000000
10:44:01,3,67,1935,126.86,81,0x0000000000000000
10:44:11,0,71,1905,149.36,85,0x0000000000000000
10:44:11,1,62,1942,129.67,77,0x0000000000000000
10:44:11,2,61,1957,133.18,77,0x0000000000000000
10:44:11,3,66,1935,136.45,81,0x0000000000000000
10:44:21,0,71,1905,145.60,86,0x0000000000000000
10:44:21,1,64,1942,131.20,77,0x0000000000000000
10:44:21,2,63,1957,136.71,77,0x0000000000000000
10:44:21,3,68,1935,134.81,82,0x0000000000000000
