time,idx,temp_c,sm_mhz,power_w,fan_pct,throttle_hex
11:11:46,0,44,210,18.54,0,0x0000000000000001
11:11:46,1,42,210,10.74,0,0x0000000000000001
11:11:46,2,42,210,18.82,0,0x0000000000000001
11:11:46,3,39,210,9.46,0,0x0000000000000001
11:11:56,0,53,1912,132.76,0,0x0000000000000400
11:11:56,1,52,1935,123.26,0,0x0000000000000400
11:11:56,2,50,1957,126.29,0,0x0000000000000400
11:11:56,3,48,1950,126.80,0,0x0000000000000400
11:12:06,0,57,1935,134.90,71,0x0000000000000400
11:12:06,1,55,1957,127.13,70,0x0000000000000400
11:12:06,2,55,1980,131.68,61,0x0000000000000400
11:12:06,3,52,1942,130.84,0,0x0000000000000400
11:12:16,0,60,1935,139.97,73,0x0000000000000400
11:12:16,1,57,1957,129.24,70,0x0000000000000400
11:12:16,2,57,1965,133.07,70,0x0000000000000400
11:12:16,3,56,1957,133.70,70,0x0000000000000400
11:12:27,0,62,1920,137.57,75,0x0000000000000400
11:12:27,1,58,1957,126.77,71,0x0000000000000400
11:12:27,2,58,1965,130.26,71,0x0000000000000400
11:12:27,3,58,1957,130.25,71,0x0000000000000400
11:12:37,0,63,1920,131.77,76,0x0000000000000400
11:12:37,1,59,1942,116.50,72,0x0000000000000400
11:12:37,2,58,1965,120.19,72,0x0000000000000400
11:12:37,3,59,1942,120.59,73,0x0000000000000400
11:12:47,0,65,1920,143.40,78,0x0000000000000400
11:12:47,1,60,1942,130.60,73,0x0000000000000400
11:12:47,2,59,1965,134.75,73,0x0000000000000400
11:12:47,3,61,1942,135.53,74,0x0000000000000400
11:12:57,0,66,1912,141.12,79,0x0000000000000400
11:12:57,1,60,1942,127.28,74,0x0000000000000400
11:12:57,2,60,1965,131.28,73,0x0000000000000400
11:12:57,3,61,1942,131.04,75,0x0000000000000400
11:13:07,0,67,1912,141.19,80,0x0000000000000400
11:13:07,1,59,1942,128.51,74,0x0000000000000400
11:13:07,2,60,1965,133.35,74,0x0000000000000400
11:13:07,3,60,1942,133.93,76,0x0000000000000400
11:13:17,0,68,1912,145.09,81,0x0000000000000400
11:13:17,1,61,1942,130.88,75,0x0000000000000400
11:13:17,2,61,1965,135.21,74,0x0000000000000400
11:13:17,3,64,1942,136.37,77,0x0000000000000400
11:13:27,0,68,1912,142.51,82,0x0000000000000400
11:13:27,1,61,1942,127.38,75,0x0000000000000400
11:13:27,2,61,1965,131.37,75,0x0000000000000400
11:13:27,3,64,1942,132.09,77,0x0000000000000400
11:13:37,0,69,1912,145.41,82,0x0000000000000400
11:13:37,1,61,1942,127.29,76,0x0000000000000400
11:13:37,2,61,1957,130.98,75,0x0000000000000400
11:13:37,3,64,1935,131.91,78,0x0000000000000400
11:13:47,0,69,1912,136.31,83,0x0000000000000400
11:13:47,1,62,1942,122.18,76,0x0000000000000400
11:13:47,2,62,1957,125.82,75,0x0000000000000400
11:13:47,3,65,1935,126.79,79,0x0000000000000400
11:13:57,0,70,1905,143.87,84,0x0000000000000400
11:13:57,1,62,1942,128.04,76,0x0000000000000400
11:13:57,2,62,1957,132.23,76,0x0000000000000400
11:13:57,3,66,1935,133.38,79,0x0000000000000400
11:14:07,0,70,1905,147.70,84,0x0000000000000400
11:14:07,1,63,1942,132.27,76,0x0000000000000400
11:14:07,2,62,1957,135.65,76,0x0000000000000400
11:14:07,3,66,1935,137.62,80,0x0000000000000400
11:14:17,0,71,1905,144.71,85,0x0000000000000400
11:14:17,1,63,1942,128.21,77,0x0000000000000400
11:14:17,2,62,1957,132.10,76,0x0000000000000400
11:14:17,3,66,1935,133.14,80,0x0000000000000400
11:14:28,0,71,1905,144.87,85,0x0000000000000400
11:14:28,1,61,1942,129.94,77,0x0000000000000400
11:14:28,2,61,1957,134.82,76,0x0000000000000400
11:14:28,3,65,1935,135.79,81,0x0000000000000400
11:14:38,0,71,1905,148.66,85,0x0000000000000400
11:14:38,1,63,1942,132.64,77,0x0000000000000400
11:14:38,2,62,1957,136.02,77,0x0000000000000400
11:14:38,3,67,1935,138.19,81,0x0000000000000400
11:14:48,0,72,1905,145.38,86,0x0000000000000400
11:14:48,1,63,1942,128.20,77,0x0000000000000400
11:14:48,2,63,1957,132.42,77,0x0000000000000400
11:14:48,3,68,1935,133.90,81,0x0000000000000400
11:14:58,0,72,1905,149.62,86,0x0000000000000400
11:14:58,1,63,1942,132.02,77,0x0000000000000400
11:14:58,2,63,1957,136.33,77,0x0000000000000400
11:14:58,3,68,1935,138.97,81,0x0000000000000400
11:15:08,0,72,1905,145.96,86,0x0000000000000400
11:15:08,1,63,1942,129.72,78,0x0000000000000400
11:15:08,2,63,1957,133.61,77,0x0000000000000400
11:15:08,3,68,1935,135.03,82,0x0000000000000400
11:15:18,0,72,1905,145.82,86,0x0000000000000400
11:15:18,1,62,1942,128.53,78,0x0000000000000400
11:15:18,2,62,1957,132.49,77,0x0000000000000400
11:15:18,3,67,1935,134.00,82,0x0000000000000400
11:15:28,0,73,1905,149.56,87,0x0000000000000400
11:15:28,1,64,1942,132.53,78,0x0000000000000400
11:15:28,2,63,1957,137.01,77,0x0000000000000400
11:15:28,3,68,1935,138.66,82,0x0000000000000400
